1457468849,projet_12_10_10.dat,115,14,annealing
1457468850,projet_12_10_2.dat,4,1,annealing
1457468859,projet_12_10_3.dat,65,9,annealing
1457468862,projet_12_10_5.dat,107,15,annealing
1457468868,projet_12_10_4.dat,62,9,annealing
1457468870,projet_12_10_6.dat,50,8,annealing
1457468878,projet_12_10_7.dat,53,8,annealing
1457468884,projet_12_10_5.dat,107,16,annealing
1457468889,projet_12_10_8.dat,78,11,annealing
1457468893,projet_12_10_6.dat,50,9,annealing
1457468896,projet_12_10_7.dat,18,3,annealing
1457468899,projet_12_10_9.dat,44,10,annealing
1457468907,projet_12_10_8.dat,77,11,annealing
1457468907,projet_15_17_1.dat,40,8,annealing
1457468909,projet_12_10_9.dat,11,2,annealing
1457468916,projet_15_17_1.dat,40,7,annealing
1457468927,projet_15_17_10.dat,201,20,annealing
1457468929,projet_15_17_2.dat,5,2,annealing
1457468936,projet_15_17_10.dat,212,20,annealing
1457468938,projet_15_17_2.dat,8,2,annealing
1457468949,projet_15_17_3.dat,116,20,annealing
1457468958,projet_15_17_3.dat,116,20,annealing
1457468963,projet_15_17_4.dat,104,14,annealing
1457468973,projet_15_17_4.dat,104,15,annealing
1457468983,projet_15_17_5.dat,199,20,annealing
1457468993,projet_15_17_5.dat,204,20,annealing
1457468998,projet_15_17_6.dat,92,15,annealing
1457469005,projet_15_17_7.dat,51,7,annealing
1457469008,projet_15_17_6.dat,93,15,annealing
1457469021,projet_15_17_7.dat,94,13,annealing
1457469024,projet_15_17_8.dat,133,19,annealing
1457469026,projet_15_17_9.dat,11,2,annealing
1457469036,projet_20_25_1.dat,67,10,annealing
1457469041,projet_15_17_8.dat,131,20,annealing
1457469044,projet_15_17_9.dat,11,3,annealing
1457469056,projet_20_25_10.dat,292,20,annealing
1457469057,projet_20_25_1.dat,55,13,annealing
1457469077,projet_20_25_10.dat,302,20,annealing
1457469092,projet_20_25_4.dat,165,21,annealing
1457469103,projet_20_25_3.dat,162,20,annealing
1457469112,projet_20_25_5.dat,261,20,annealing
1457469123,projet_20_25_4.dat,165,20,annealing
1457469132,projet_20_25_6.dat,143,20,annealing
1457469143,projet_20_25_5.dat,265,20,annealing
1457469156,projet_20_25_8.dat,196,20,annealing
1457469163,projet_20_25_6.dat,145,20,annealing
1457469172,projet_20_25_7.dat,77,9,annealing
1457469176,projet_20_25_9.dat,183,20,annealing
1457469192,projet_20_25_8.dat,205,20,annealing
